state,best,wins
001101022,6,-17
001101100,-1,-60
001101101,-2,-1
001101102,-1,-18
001101110,-1,-15
001101111,-2,-1
001101112,-1,-6
001101120,-1,-15
001101121,-2,-1
001101122,-1,-6
001101200,-1,-64
001101201,-2,-1
001101202,7,-13
001101210,-1,-18
001101211,-2,-1
001101212,4,-4
001101220,8,-14
001101221,-2,-1
001101222,-3,1
001102000,0,-432
001102001,-1,-60
001102002,6,-84
001102010,-1,-72
001102011,-1,-21
001102012,0,-20
001102020,6,-84
001102021,4,-16
001102022,6,-19
001102100,-1,-68
001102101,-1,-15
001102102,-1,-18
001102110,-1,-15
001102111,-2,-1
001102112,-1,-6
001102120,-1,-14
001102121,-1,-4
001102122,-1,-6
001102200,7,-54
001102201,0,-8
001102202,7,-11
001102210,1,-8
001102211,0,0
001102212,1,-2
001102220,8,-11
001102221,0,-2
001102222,-3,1
001110000,-1,-322
001110001,-1,-60
001110002,-1,-64
001110010,-1,-60
001110011,-1,-12
001110012,-1,-15
001110020,-1,-64
001110021,-1,-15
001110022,6,-14
001110100,-2,-1
001110101,-2,-1
001110102,-2,-1
001110110,-2,-1
001110111,-2,-1
001110112,-2,-1
001110120,-2,-1
001110121,-2,-1
001110122,-2,-1
001110200,-1,-60
001110201,-1,-18
001110202,7,-13
001110210,-1,-18
001110211,-1,-6
001110212,-1,-4
001110220,8,-13
001110221,-1,-4
001110222,-3,1
001111000,-2,-1
001111001,-2,-1
001111002,-2,-1
001111010,-2,-1
001111011,-2,-1
001111012,-2,-1
001111020,-2,-1
001111021,-2,-1
001111022,-2,-1
001111100,-2,-1
001111101,-2,-1
001111102,-2,-1
001111110,-2,-1
001111111,-2,-1
001111112,-2,-1
001111120,-2,-1
001111121,-2,-1
001111122,-2,-1
001111200,-2,-1
001111201,-2,-1
001111202,-2,-1
001111210,-2,-1
001111211,-2,-1
001111212,-2,-1
001111220,-2,-1
001111221,-2,-1
001111222,-2,-1
001112000,-1,-64
001112001,-1,-18
001112002,6,-17
001112010,-1,-18
001112011,-1,-6
001112012,-1,-4
001112020,6,-17
001112021,-1,-4
001112022,6,-5
001112100,-2,-1
001112101,-2,-1
001112102,-2,-1
001112110,-2,-1
001112111,-2,-1
001112112,-2,-1
001112120,-2,-1
001112121,-2,-1
001112122,-2,-1
001112200,7,-12
001112201,0,-2
001112202,7,-3
001112210,1,-2
001112211,-1,-2
001112212,1,-1
001112220,8,-3
001112221,0,-1
001112222,-3,1
001120000,1,-432
001120001,-1,-60
001120002,0,-61
001120010,0,-78
001120011,-1,-18
001120012,0,-15
001120020,1,-61
001120021,1,-13
001120022,6,-9
001120100,0,-78
001120101,-1,-15
001120102,0,-16
001120110,-1,-18
001120111,-2,-1
001120112,0,-5
001120120,1,-13
001120121,1,-3
001120122,1,-4
001120200,0,-66
001120201,5,-13
001120202,7,-10
001120210,0,-12
001120211,5,-2
001120212,0,-3
001120220,8,-10
001120221,1,-3
001120222,-3,1
001121000,8,-78
001121001,-2,-1
001121002,0,-15
001121010,8,-21
001121011,-2,-1
001121012,0,-3
001121020,1,-17
001121021,-2,-1
001121022,6,-3
001121100,-1,-18
001121101,-2,-1
001121102,0,-5
001121110,-1,-6
001121111,-2,-1
001121112,0,-2
001121120,1,-5
001121121,-2,-1
001121122,1,-2
001121200,8,-17
001121201,-2,-1
001121202,7,-4
001121210,8,-4
001121211,-2,-1
001121212,0,-1
001121220,8,-4
001121221,-2,-1
001121222,-3,1
001122000,0,-72
001122001,1,-12
001122002,0,-15
001122010,0,-16
001122011,6,-2
001122012,0,-3
001122020,1,-15
001122021,1,-3
001122022,6,-3
001122100,0,-17
001122101,-1,-4
001122102,0,-5
001122110,-1,-6
001122111,-2,-1
001122112,0,-2
001122120,1,-5
001122121,1,-1
001122122,1,-2
001122200,0,-12
001122201,0,-2
001122202,7,-4
001122210,1,-2
001122211,0,0
001122212,0,-1
001122220,8,-4
001122221,1,-1
001122222,-3,1
001200000,6,-3108
001200001,5,-393
001200002,6,-448
001200010,6,-464
001200011,-1,-72
001200012,6,-78
001200020,6,-504
001200021,5,-86
001200022,6,-67
001200100,4,-405
001200101,-1,-56
001200102,4,-88
001200110,-1,-64
001200111,-2,-1
001200112,4,-17
001200120,4,-88
001200121,-1,-18
001200122,4,-21
001200200,0,-321
001200201,0,-67
001200202,7,-50
001200210,0,-55
001200211,0,-17
001200212,0,-11
001200220,8,-44
001200221,0,-17
001200222,-3,1
001201000,8,-401
001201001,-2,-1
001201002,6,-90
001201010,-1,-72
001201011,-2,-1
001201012,6,-16
001201020,8,-86
001201021,-2,-1
001201022,6,-19
001201100,-1,-68
001201101,-2,-1
001201102,4,-17
001201110,-1,-18
001201111,-2,-1
001201112,4,-4
001201120,-1,-18
001201121,-2,-1
001201122,4,-6
001201200,0,-55
001201201,-2,-1
001201202,7,-10
001201210,0,-13
001201211,-2,-1
001201212,0,-3
001201220,8,-12
001201221,-2,-1
001201222,-3,1
001202000,4,-389
001202001,4,-79
001202002,4,-73
001202010,4,-67
001202011,4,-17
001202012,4,-15
001202020,4,-73
001202021,4,-19
001202022,6,-14
001202100,4,-65
001202101,4,-14
001202102,4,-16
001202110,4,-14
001202111,-2,-1
001202112,4,-5
001202120,4,-16
001202121,4,-5
001202122,4,-5
001202200,4,-50
001202201,4,-14
001202202,7,-9
001202210,4,-10
001202211,4,-4
001202212,4,-4
001202220,8,-9
001202221,4,-4
001202222,-3,1
001210000,6,-381
001210001,-1,-56
001210002,6,-76
001210010,-1,-64
001210011,-1,-12
001210012,-1,-14
001210020,6,-88
001210021,-1,-15
001210022,6,-16
001210100,-2,-1
001210101,-2,-1
001210102,-2,-1
001210110,-2,-1
001210111,-2,-1
001210112,-2,-1
001210120,-2,-1
001210121,-2,-1
001210122,-2,-1
001210200,0,-67
001210201,0,-14
001210202,7,-10
001210210,0,-13
001210211,0,-5
001210212,0,-3
001210220,8,-14
001210221,0,-5
001210222,-3,1
001211000,-1,-64
001211001,-2,-1
001211002,6,-17
001211010,-1,-15
001211011,-2,-1
001211012,-1,-4
001211020,-1,-18
001211021,-2,-1
001211022,6,-5
001211100,-2,-1
001211101,-2,-1
001211102,-2,-1
001211110,-2,-1
001211111,-2,-1
001211112,-2,-1
001211120,-2,-1
001211121,-2,-1
001211122,-2,-1
001211200,0,-13
001211201,-2,-1
001211202,7,-4
001211210,0,-3
001211211,-2,-1
001211212,0,-1
001211220,8,-4
001211221,-2,-1
001211222,-3,1
001212000,6,-82
001212001,-1,-18
001212002,6,-17
001212010,-1,-18
001212011,-1,-6
001212012,-1,-4
001212020,6,-21
001212021,-1,-6
001212022,6,-5
001212100,-2,-1
001212101,-2,-1
001212102,-2,-1
001212110,-2,-1
001212111,-2,-1
001212112,-2,-1
001212120,-2,-1
001212121,-2,-1
001212122,-2,-1
001212200,0,-15
001212201,0,-5
001212202,7,-4
001212210,0,-3
001212211,0,-2
001212212,0,-1
001212220,8,-4
001212221,0,-2
001212222,-3,1
001220000,5,-317
001220001,5,-57
001220002,5,-44
001220010,5,-61
001220011,5,-14
001220012,5,-10
001220020,5,-38
001220021,5,-12
001220022,6,-4
001220100,5,-73
001220101,5,-14
001220102,5,-14
001220110,5,-13
001220111,-2,-1
001220112,5,-4
001220120,5,-14
001220121,5,-4
001220122,5,-3
001220200,5,-44
001220201,5,-12
001220202,7,-9
001220210,5,-10
001220211,5,-4
001220212,5,-4
001220220,8,-4
001220221,5,-3
001220222,-3,1
001221000,8,-74
001221001,-2,-1
001221002,0,-15
001221010,8,-17
001221011,-2,-1
001221012,0,-3
001221020,1,-17
001221021,-2,-1
001221022,6,-3
001221100,8,-17
001221101,-2,-1
001221102,0,-5
001221110,8,-4
001221111,-2,-1
001221112,0,-1
001221120,1,-5
001221121,-2,-1
001221122,1,-2
001221200,0,-13
001221201,-2,-1
001221202,7,-4
001221210,0,-3
001221211,-2,-1
001221212,0,-1
001221220,8,-3
001221221,-2,-1
001221222,-3,1
001222000,-3,1
001222001,-3,1
001222002,-3,1
001222010,-3,1
001222011,-3,1
001222012,-3,1
001222020,-3,1
001222021,-3,1
001222022,-3,1
001222100,-3,1
001222101,-3,1
001222102,-3,1
001222110,-3,1
001222111,-2,-1
001222112,-3,1
001222120,-3,1
001222121,-3,1
001222122,-3,1
001222200,-3,1
001222201,-3,1
001222202,-3,1
001222210,-3,1
001222211,-3,1
001222212,-3,1
001222220,-3,1
001222221,-3,1
001222222,-3,1
002000000,4,-19428
002000001,0,-2964
002000002,5,-1751
002000010,8,-2838
002000011,6,-433
002000012,5,-297
002000020,8,-2762
002000021,0,-432
