state,best,wins
001122221,1,1
001122222,-2,1
001200000,8,2838
001200001,5,313
001200002,7,480
001200010,8,416
001200011,6,38
001200012,6,78
001200020,8,520
001200021,5,67
001200022,6,90
001200100,4,329
001200101,7,27
001200102,4,67
001200110,8,50
001200111,-3,-1
001200112,4,15
001200120,4,73
001200121,5,14
001200122,4,19
001200200,8,369
001200201,5,61
001200202,7,52
001200210,8,74
001200211,5,17
001200212,5,13
001200220,8,72
001200221,5,17
001200222,-2,1
001201000,8,337
001201001,-3,-1
001201002,7,84
001201010,8,67
001201011,-3,-1
001201012,6,16
001201020,8,73
001201021,-3,-1
001201022,6,21
001201100,8,50
001201101,-3,-1
001201102,4,15
001201110,8,14
001201111,-3,-1
001201112,4,5
001201120,8,14
001201121,-3,-1
001201122,4,5
001201200,8,55
001201201,-3,-1
001201202,7,14
001201210,8,13
001201211,-3,-1
001201212,4,4
001201220,8,14
001201221,-3,-1
001201222,-2,1
001202000,8,421
001202001,7,80
001202002,7,78
001202010,8,80
001202011,6,17
001202012,6,17
001202020,8,90
001202021,6,21
001202022,6,18
001202100,4,57
001202101,7,12
001202102,4,16
001202110,8,12
001202111,-3,-1
001202112,4,5
001202120,4,16
001202121,4,5
001202122,4,5
001202200,8,64
001202201,7,18
001202202,7,15
001202210,8,14
001202211,4,6
001202212,4,4
001202220,8,15
001202221,4,6
001202222,-2,1
001210000,6,289
001210001,6,27
001210002,6,61
001210010,6,44
001210011,6,4
001210012,6,10
001210020,6,67
001210021,6,9
001210022,6,16
001210100,-3,-1
001210101,-3,-1
001210102,-3,-1
001210110,-3,-1
001210111,-3,-1
001210112,-3,-1
001210120,-3,-1
001210121,-3,-1
001210122,-3,-1
001210200,8,68
001210201,5,12
001210202,7,14
001210210,1,13
001210211,5,3
001210212,1,3
001210220,8,18
001210221,5,4
001210222,-2,1
001211000,8,44
001211001,-3,-1
001211002,6,15
001211010,8,9
001211011,-3,-1
001211012,6,4
001211020,8,14
001211021,-3,-1
001211022,6,5
001211100,-3,-1
001211101,-3,-1
001211102,-3,-1
001211110,-3,-1
001211111,-3,-1
001211112,-3,-1
001211120,-3,-1
001211121,-3,-1
001211122,-3,-1
001211200,8,13
001211201,-3,-1
001211202,7,4
001211210,8,4
001211211,-3,-1
001211212,1,1
001211220,8,5
001211221,-3,-1
001211222,-2,1
001212000,6,67
001212001,6,14
001212002,6,15
001212010,6,14
001212011,6,3
001212012,6,4
001212020,6,19
001212021,6,4
001212022,6,5
001212100,-3,-1
001212101,-3,-1
001212102,-3,-1
001212110,-3,-1
001212111,-3,-1
001212112,-3,-1
001212120,-3,-1
001212121,-3,-1
001212122,-3,-1
001212200,8,17
001212201,0,5
001212202,7,4
001212210,1,5
001212211,1,2
001212212,1,1
001212220,8,6
001212221,0,2
001212222,-2,1
001220000,8,381
001220001,5,57
001220002,7,64
001220010,8,74
001220011,6,12
001220012,6,14
001220020,8,72
001220021,5,14
001220022,6,12
001220100,8,74
001220101,7,12
001220102,7,18
001220110,8,13
001220111,-3,-1
001220112,5,4
001220120,8,18
001220121,5,5
001220122,5,6
001220200,8,60
001220201,5,14
001220202,7,15
001220210,8,14
001220211,5,5
001220212,5,4
001220220,8,12
001220221,5,5
001220222,-2,1
001221000,8,67
001221001,-3,-1
001221002,7,17
001221010,8,15
001221011,-3,-1
001221012,6,4
001221020,8,17
001221021,-3,-1
001221022,6,6
001221100,8,15
001221101,-3,-1
001221102,7,4
001221110,8,5
001221111,-3,-1
001221112,1,1
001221120,8,5
001221121,-3,-1
001221122,1,2
001221200,8,13
001221201,-3,-1
001221202,7,4
001221210,8,5
001221211,-3,-1
001221212,1,1
001221220,8,5
001221221,-3,-1
001221222,-2,1
001222000,-2,1
001222001,-2,1
001222002,-2,1
001222010,-2,1
001222011,-2,1
001222012,-2,1
001222020,-2,1
001222021,-2,1
001222022,-2,1
001222100,-2,1
001222101,-2,1
001222102,-2,1
001222110,-2,1
001222111,-3,-1
001222112,-2,1
001222120,-2,1
001222121,-2,1
001222122,-2,1
001222200,-2,1
001222201,-2,1
001222202,-2,1
001222210,-2,1
001222211,-2,1
001222212,-2,1
001222220,-2,1
001222221,-2,1
001222222,-2,1
002000000,8,22548
002000001,7,2964
002000002,7,2086
002000010,8,3108
002000011,6,385
002000012,6,377
002000020,8,2864
002000021,6,464
002000022,6,322
002000100,8,2588
002000101,7,265
002000102,7,329
002000110,8,321
002000111,-3,-1
002000112,5,68
002000120,8,400
002000121,5,60
002000122,5,60
002000200,8,2470
002000201,7,421
002000202,7,219
002000210,8,405
002000211,5,88
002000212,5,64
002000220,8,346
002000221,5,82
002000222,-2,1
002001000,8,3074
002001001,7,452
002001002,7,412
002001010,8,488
002001011,6,67
002001012,6,84
002001020,8,448
002001021,6,72
002001022,6,60
002001100,8,368
002001101,7,67
002001102,7,72
002001110,8,67
002001111,-3,-1
002001112,4,16
002001120,8,60
002001121,4,12
002001122,4,12
002001200,8,405
002001201,7,88
002001202,7,64
002001210,8,88
002001211,4,21
002001212,4,17
002001220,8,76
002001221,4,21
002001222,-2,1
002002000,8,2502
002002001,7,468
002002002,-2,1
002002010,8,417
002002011,6,73
002002012,-2,1
002002020,8,449
002002021,6,78
002002022,-2,1
002002100,8,369
002002101,7,61
002002102,-2,1
002002110,8,57
002002111,-3,-1
002002112,-2,1
002002120,8,72
002002121,4,16
002002122,-2,1
002002200,8,346
002002201,7,82
002002202,-2,1
002002210,8,76
002002211,4,21
002002212,-2,1
002002220,8,80
002002221,4,21
002002222,-2,1
002010000,8,2622
002010001,0,293
002010002,7,333
002010010,1,317
002010011,6,27
002010012,1,55
002010020,8,432
002010021,0,55
002010022,6,52
002010100,8,344
002010101,7,50
002010102,7,62
002010110,8,44
002010111,-3,-1
002010112,1,13
002010120,8,66
002010121,0,11
002010122,5,13
002010200,8,448
002010201,0,73
002010202,7,60
002010210,1,73
002010211,1,14
002010212,1,13
002010220,8,78
002010221,0,15
002010222,-2,1
002011000,3,301
002011001,3,44
002011002,3,55
002011010,3,44
002011011,6,4
002011012,3,10
002011020,3,55
002011021,3,10
002011022,3,9
002011100,3,67
002011101,7,9
002011102,3,11
002011110,8,9
002011111,-3,-1
002011112,3,4
002011120,3,11
002011121,3,4
002011122,3,3
002011200,3,73
002011201,3,14
002011202,3,13
002011210,3,14
002011211,3,3
002011212,3,4
002011220,3,17
002011221,3,4
002011222,-2,1
002012000,8,385
002012001,0,61
002012002,-2,1
002012010,1,61
002012011,6,9
002012012,-2,1
002012020,8,70
002012021,0,11
002012022,-2,1
002012100,8,68
002012101,7,10
002012102,-2,1
002012110,8,12
002012111,-3,-1
002012112,-2,1
002012120,8,17
002012121,0,3
002012122,-2,1
002012200,8,78
002012201,0,15
002012202,-2,1
002012210,1,17
002012211,1,4
002012212,-2,1
002012220,8,21
002012221,0,3
002012222,-2,1
002020000,8,2054
002020001,7,369
002020002,7,243
002020010,8,381
002020011,6,65
002020012,6,48
002020020,8,322
002020021,6,56
002020022,6,40
002020100,8,392
002020101,7,55
002020102,7,52
002020110,8,67
002020111,-3,-1
002020112,5,14
002020120,8,60
002020121,5,13
002020122,5,15
002020200,-2,1
002020201,-2,1
002020202,-2,1
002020210,-2,1
002020211,-2,1
002020212,-2,1
002020220,-2,1
002020221,-2,1
002020222,-2,1
002021000,8,365
002021001,7,70
002021002,7,56
002021010,8,82
002021011,6,16
002021012,6,14
002021020,8,56
002021021,6,14
002021022,6,15
002021100,8,72
